system:index,CO_density,City,date,.geo
00000000000000000064_22,0.043954233945403536,Delhi,01-10-2020,
00000000000000000021_0,0.04188207015873616,Delhi,01-12-2018,
00000000000000000021_1,0.041544316124803214,Delhi,01-01-2019,
00000000000000000021_2,0.03969994585512974,Delhi,01-02-2019,
00000000000000000021_3,0.03843919976988209,Delhi,01-03-2019,
00000000000000000021_4,0.041394877932844534,Delhi,01-04-2019,
00000000000000000021_5,0.04310401824961482,Delhi,01-05-2019,
00000000000000000021_6,0.0406327978483622,Delhi,01-06-2019,
00000000000000000021_7,0.036978019031078,Delhi,01-07-2019,
00000000000000000021_8,0.03735148447709008,Delhi,01-08-2019,
00000000000000000021_9,0.036654948394383956,Delhi,01-09-2019,
00000000000000000021_10,0.0436945376288756,Delhi,01-10-2019,
00000000000000000021_11,0.04268457852411124,Delhi,01-11-2019,
00000000000000000021_12,0.03947911938749731,Delhi,01-12-2019,
00000000000000000021_13,0.039488229647066844,Delhi,01-01-2020,
00000000000000000021_14,0.0425607857623696,Delhi,01-02-2020,
00000000000000000021_15,0.03836850002298159,Delhi,01-03-2020,
00000000000000000021_16,0.03955909776026684,Delhi,01-04-2020,
00000000000000000021_17,0.04402375351629508,Delhi,01-05-2020,
00000000000000000021_18,0.039127673473020645,Delhi,01-06-2020,
00000000000000000021_19,0.037447629238850616,Delhi,01-07-2020,
00000000000000000021_20,0.034505818379400886,Delhi,01-08-2020,
00000000000000000021_21,0.03786238578567499,Delhi,01-09-2020,
00000000000000000021_22,0.04327111470850794,Delhi,01-10-2020,
00000000000000000057_0,0.042877535923324786,Delhi,01-12-2018,
00000000000000000057_1,0.04237958335325768,Delhi,01-01-2019,
00000000000000000057_2,0.041742169803897326,Delhi,01-02-2019,
00000000000000000057_3,0.039132542841797534,Delhi,01-03-2019,
00000000000000000057_4,0.042258586757058916,Delhi,01-04-2019,
00000000000000000057_5,0.04343289349633218,Delhi,01-05-2019,
00000000000000000057_6,0.041262140128705355,Delhi,01-06-2019,
00000000000000000057_7,0.03659262030529841,Delhi,01-07-2019,
00000000000000000057_8,0.03760509262084,Delhi,01-08-2019,
00000000000000000057_9,0.038658259839064,Delhi,01-09-2019,
00000000000000000057_10,0.04276730823101901,Delhi,01-10-2019,
00000000000000000057_11,0.041683792256201606,Delhi,01-11-2019,
00000000000000000057_12,0.042780941569716506,Delhi,01-12-2019,
